Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-12-08,26.712493896484375,26.712493896484375,26.676853477676524,26.712493896484375,146700,8,2,49,12,1993
1993-12-09,26.712508459486955,26.7481488977251,26.58776692565346,26.6234073638916,416500,9,3,49,12,1993
1993-12-10,26.641225251953205,26.641225251953205,26.516483729034363,26.569944381713867,412900,10,4,49,12,1993
1993-12-13,26.569939952850344,26.730321884155273,26.534299523671468,26.730321884155273,273200,13,0,50,12,1993
1993-12-14,26.748140505450618,26.748140505450618,26.534297943115234,26.534297943115234,41900,14,1,50,12,1993
1993-12-15,26.56993616741619,26.587756379466775,26.498655319213867,26.498655319213867,82600,15,2,50,12,1993
1993-12-16,26.6055754145093,26.6055754145093,26.55211478072261,26.58775520324707,78200,16,3,50,12,1993
1993-12-17,26.644164283803644,26.751817472829114,26.626222085632733,26.733875274658203,104700,17,4,50,12,1993
1993-12-20,26.715931632883105,26.7877004216887,26.697989435681706,26.769758224487305,68800,20,0,51,12,1993
1993-12-21,26.73387649320642,26.73387649320642,26.644165498262776,26.680049896240234,205700,21,1,51,12,1993
1993-12-22,26.751828577809917,26.877424017142356,26.698001960953157,26.859481811523438,410300,22,2,51,12,1993
1993-12-23,26.841529846191406,26.89535644347655,26.80564544800131,26.841529846191406,533800,23,3,51,12,1993
1993-12-27,26.841539261188913,26.985076904296875,26.841539261188913,26.985076904296875,447100,27,0,52,12,1993
1993-12-28,26.967122050730218,27.056833035596256,26.949179853757013,27.038890838623047,880600,28,1,52,12,1993
1993-12-29,27.05684977179746,27.074791979868944,26.985080939511523,27.003023147583008,266700,29,2,52,12,1993
1993-12-30,26.985070043440416,26.985070043440416,26.841532436826373,26.89535903930664,219900,30,3,52,12,1993
1993-12-31,26.94919149192846,26.985075901371772,26.733885035268578,26.751827239990234,312900,31,4,52,12,1993
1994-01-03,26.75181869219515,26.78770309017261,26.644165498262776,26.680049896240234,960900,3,0,1,1,1994
1994-01-04,26.715939472604738,26.787708282470703,26.680055067671756,26.787708282470703,164300,4,1,1,1,1994
1994-01-05,26.823587647096357,26.859472045286456,26.71593445252607,26.841529846191406,710900,5,2,1,1,1994
1994-01-06,26.8774142443815,26.89535644347655,26.80564544800131,26.841529846191406,201000,6,3,1,1,1994
1994-01-07,26.895369899154105,27.020965355654493,26.82360106686817,27.003023147583008,775500,7,4,1,1,1994
1994-01-10,27.038896392852322,27.325971603393555,26.967127590217014,27.325971603393555,593700,10,0,2,1,1994
