Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2002-04-03,74.83022552585952,74.96149310292319,73.6159829116408,74.25920104980469,25658500,3,2,14,4,2002
2002-04-04,73.90480045885057,74.4298809802346,73.66195484893011,73.95074462890625,23549000,4,3,14,4,2002
2002-04-05,74.29204889274192,74.58083867436109,73.62913585741929,73.96387481689453,19404900,5,4,14,4,2002
2002-04-08,73.06464036995811,74.18699456042225,73.00557146876679,74.1213607788086,16470100,8,0,15,4,2002
2002-04-09,74.28546197325197,74.28546197325197,73.46502702700539,73.60285949707031,15122700,9,1,15,4,2002
2002-04-10,73.57659748474974,74.52174004898326,73.57003260373784,74.43641662597656,17199300,10,2,15,4,2002
2002-04-11,74.09514354584223,74.2001616552935,72.52647184057234,72.58554077148438,25453700,11,3,15,4,2002
2002-04-12,72.86773938767617,73.28124175663531,72.22452126990827,73.13027954101562,14950600,12,4,15,4,2002
2002-04-15,73.26159350818173,73.41911568615761,72.3295751869367,72.57242584228516,17394900,15,0,16,4,2002
2002-04-16,73.31404702865218,74.3773322640537,73.29435739591932,74.29856872558594,15040900,16,1,16,4,2002
2002-04-17,74.42331265454325,74.60708932626625,73.90479704073124,74.14108276367188,12920100,17,2,16,4,2002
2002-04-18,74.10168783911641,74.46924110498657,72.95307887573452,73.8194580078125,25204800,18,3,16,4,2002
2002-04-19,74.29857022281202,74.32482473616366,73.87850802425831,74.08853912353516,10499200,19,4,16,4,2002
2002-04-22,73.76039569698922,73.79321510412443,72.74961904919421,72.8546371459961,13922900,22,0,17,4,2002
2002-04-23,72.91369180289492,73.16967211187766,72.30985288705165,72.5395736694336,16967000,23,1,17,4,2002
2002-04-24,72.56583903954748,73.38627410469266,71.80447790301265,71.81104278564453,18902700,24,2,17,4,2002
2002-04-25,71.67978903842359,72.02765279640455,71.35817981034265,71.8504409790039,25451500,25,3,17,4,2002
2002-04-26,72.06041930043034,72.20481660508717,70.41954994303153,70.48518371582031,19769800,26,4,17,4,2002
2002-04-29,70.83961336943882,71.0562093303118,69.98635928526184,70.13732147216797,17724400,29,0,18,4,2002
2002-04-30,70.2423434952573,71.30562879667809,69.9929331192613,70.7936782836914,19473500,30,1,18,4,2002
2002-05-01,70.86586924089956,71.70599358188892,70.09794355492048,71.66004943847656,24575600,1,2,18,5,2002
2002-05-02,71.60758591069961,72.139231345147,70.74120650766375,71.38442993164062,15666800,2,3,18,5,2002
2002-05-03,71.27937401790658,71.38439207532807,70.36048604561492,70.60990142822266,18185500,3,4,18,5,2002
2002-05-06,70.64929525879455,70.87901604733524,69.12000328323602,69.22502136230469,23630400,6,0,19,5,2002
2002-05-07,69.63852577182392,69.7829231412688,68.85091012990046,68.982177734375,21910000,7,1,19,5,2002
2002-05-08,70.26203604812845,71.77819790806346,70.09138421302683,71.54847717285156,27917400,8,2,19,5,2002
2002-05-09,71.31219539380677,71.60754992532071,70.60990338978463,70.72148132324219,18085600,9,3,19,5,2002
2002-05-10,70.8658974441282,70.91840648822162,69.31035081374269,69.38911437988281,18958900,10,4,19,5,2002
2002-05-13,69.7173172715531,70.8527970270529,69.43508730207198,70.80029296875,14677700,13,0,20,5,2002
2002-05-14,71.94886647378571,72.44112745265184,71.54192892854284,72.3426742553711,34201200,14,1,20,5,2002
2002-05-15,71.87010617151232,72.79555925733901,71.73227369208793,72.0604476928711,29535300,15,2,20,5,2002
2002-05-16,72.00139336871543,72.51334915563133,71.75854774685374,72.43458557128906,28092000,16,3,20,5,2002
2002-05-17,72.63149455700345,73.01873759320468,72.26393615814906,72.78901672363281,27823700,17,4,20,5,2002
2002-05-20,72.61834201080593,72.6511614136816,71.86354081250587,72.00137329101562,13833800,20,0,21,5,2002
2002-05-21,72.27046944484266,72.51331997652134,71.09560607407907,71.34501647949219,16877200,21,1,21,5,2002
2002-05-22,71.02997688633924,71.62069105063199,70.88557953423017,71.50254821777344,15844200,22,2,21,5,2002
2002-05-23,71.71262393826214,72.43460614002845,71.2006730135104,72.26395416259766,13879800,23,3,21,5,2002
2002-05-24,72.18516775605048,72.32956013474798,71.2859690374678,71.3384780883789,11877000,24,4,21,5,2002
2002-05-28,71.57475125459693,71.6272552887593,70.52459045074428,70.95121765136719,24236900,28,1,22,5,2002
2002-05-29,70.63619394001537,70.8987292097219,70.31457972180807,70.42616271972656,14773300,29,2,22,5,2002
2002-05-30,69.93391619115158,70.56400998368278,69.5072887774212,70.2292709350586,18217900,30,3,22,5,2002
2002-05-31,70.4917848225236,71.253145991717,70.13079137535964,70.37364196777344,19826300,31,4,22,5,2002
